Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2023-07-26 00:00:00.0;12.475;84;1014.053;7.14138
2023-07-27 00:00:00.0;9.45625;84;1018.98;7.39458
2023-07-28 00:00:00.0;9.961802;83;1023.058;8.25948
2023-07-29 00:00:00.0;12.16319;80;1017.534;6.064739
2023-07-30 00:00:00.0;14.27986;81;1013.924;6.887102
2023-07-31 00:00:00.0;15.9125;86;1014.531;6.377759
2023-08-01 00:00:00.0;21.49236;79;1009.597;8.432457
2023-08-02 00:00:00.0;22.4368;70;1009.758;8.46792
2023-08-03 00:00:00.0;13.26042;66;1018.398;8.013061
2023-08-04 00:00:00.0;11.15;73;1015.297;9.344819
2023-08-05 00:00:00.0;10.66945;78;1012.241;8.424419
2023-08-06 00:00:00.0;16.17917;85;1006.823;5.639699
2023-08-07 00:00:00.0;10.29097;71;1023.567;10.1367
2023-08-08 00:00:00.0;8.175694;84;1023.054;8.924161
2023-08-09 00:00:00.0;11.57622;84;1014.097;9.709381
2023-08-10 00:00:00.0;15.28055;95;1005.261;3.31926
2023-08-11 00:00:00.0;12.97917;62;1012.589;9.74334
2023-08-12 00:00:00.0;7.518054;52;1022.356;9.886741
2023-08-13 00:00:00.0;8.084029;60;1018.371;9.56658
2023-08-14 00:00:00.0;14.03403;57;1011.286;9.808621
2023-08-15 00:00:00.0;18.34862;56;1005.881;9.17256
2023-08-16 00:00:00.0;22.97639;73;1003.673;7.18926
2023-08-17 00:00:00.0;16.77708;97;1003.411;0.51576
2023-08-18 00:00:00.0;14.02153;78;1008.007;7.277101
2023-08-19 00:00:00.0;8.448612;62;1005.639;5.42466
2023-08-20 00:00:00.0;8.455556;84;1005.769;2.77308
2023-08-21 00:00:00.0;12.73819;80;998.7281;8.475962
2023-08-22 00:00:00.0;16.59583;71;996.6846;10.75446
2023-08-23 00:00:00.0;11.73264;76;1004.474;6.082738
2023-08-24 00:00:00.0;12.30972;72;1011.757;3.71208
2023-08-25 00:00:00.0;11.41041;72;1017.23;6.572281
2023-08-26 00:00:00.0;8.662499;60;1021.167;11.64258
2023-08-27 00:00:00.0;9.101388;63;1022.673;12.45366
2023-08-28 00:00:00.0;10.08958;60;1018.289;11.20884
2023-08-29 00:00:00.0;12.78819;56;1016.714;12.31158
2023-08-30 00:00:00.0;15.48472;51;1009.74;12.92766
2023-08-31 00:00:00.0;14.28958;43;1014.334;12.65952
2023-09-01 00:00:00.0;16.80764;66;1005.27;9.636418
2023-09-02 00:00:00.0;15.425;88;1006.142;2.21328
2023-09-03 00:00:00.0;9.72986;100;1007.845;0.38718
2023-09-04 00:00:00.0;10.14097;87;1015.362;5.419319
2023-09-05 00:00:00.0;8.419445;83;1022.421;5.42886
2023-09-06 00:00:00.0;9.995139;76;1017.015;5.150221
2023-09-07 00:00:00.0;13.78403;93;1008.872;1.44372
2023-09-08 00:00:00.0;11.775;80;1012.833;11.40756
2023-09-09 00:00:00.0;13.93472;71;1013.517;12.04506
2023-09-10 00:00:00.0;16.65347;78;1007.603;10.90134
2023-09-11 00:00:00.0;18.26389;81;1002.83;8.191861
2023-09-12 00:00:00.0;13.11042;56;1014.748;13.78332
2023-09-13 00:00:00.0;12.40417;64;1017.17;14.92638
2023-09-14 00:00:00.0;12.98958;61;1014.171;12.45054
2023-09-15 00:00:00.0;17.25874;58;1004.307;13.092
2023-09-16 00:00:00.0;19.22986;59;999.2146;15.03498
2023-09-17 00:00:00.0;17.13194;67;1005.449;8.585401
2023-09-18 00:00:00.0;13.83126;63;1015.247;15.525
2023-09-19 00:00:00.0;12.49167;83;1015.554;6.32706
2023-09-20 00:00:00.0;15.39167;94;1011.602;2.05608
2023-09-21 00:00:00.0;17.74723;93;1005.97;4.35072
